Week,Goud,Overig,Liquiditeitsoperaties aan banken,Opkoopprogramma's
28/11/2006,174657,438172,441532,78953
05/12/2006,174537,444433,428175,78999
12/12/2006,174466,444154,449000,78632
19/12/2006,174056,445812,440000,78386
26/12/2006,174015,448824,441498,77984
02/01/2007,176768,446058,450540,77614
09/01/2007,176821,446371,450501,80723
16/01/2007,176793,449856,430501,81150
23/01/2007,176756,450094,432504,81872
30/01/2007,176720,451854,437508,82066
06/02/2007,176681,455329,422505,82156
13/02/2007,176611,457697,409505,83383
20/02/2007,176521,457189,416500,84880
27/02/2007,176484,456506,431514,85892
06/03/2007,176450,456272,429008,86499
13/03/2007,176441,456594,420001,86790
20/03/2007,176185,454646,411503,87663
27/03/2007,175996,456566,421999,88095
03/04/2007,181399,458698,433565,88942
10/04/2007,181210,456352,443529,90329
17/04/2007,181179,459155,430680,90556
24/04/2007,180898,461313,431548,90486
01/05/2007,180703,463229,440018,92358
08/05/2007,180517,462065,429707,93066
15/05/2007,180495,464151,426145,93454
22/05/2007,180215,464111,431243,93424
29/05/2007,180024,466784,445739,94505
05/06/2007,179995,469074,434509,94861
12/06/2007,179936,471060,429174,96176
19/06/2007,179911,472593,432004,95752
26/06/2007,179866,474753,438124,93929
03/07/2007,172756,477385,464608,93704
10/07/2007,172712,476943,448171,93931
17/07/2007,172624,477621,442002,93117
24/07/2007,172336,478951,451819,93313
31/07/2007,172141,480530,465667,94246
07/08/2007,172112,481864,448009,93138
14/08/2007,172067,483310,503553,94168
21/08/2007,172041,484046,460010,91606
28/08/2007,172025,487320,465203,92336
04/09/2007,172000,492143,400116,93275
11/09/2007,171940,494304,446286,94853
18/09/2007,171902,498691,534036,94678
25/09/2007,171868,502566,420612,94537
02/10/2007,186233,513532,455216,95415
09/10/2007,186083,517001,428005,97263
16/10/2007,185975,523497,483006,96640
23/10/2007,185849,531682,436005,95791
30/10/2007,185723,534920,447025,95836
06/11/2007,185539,540015,435011,95696
13/11/2007,185473,541498,425010,96491
20/11/2007,185420,543408,447883,95050
27/11/2007,185391,550600,454265,95267
04/12/2007,185357,552976,463068,95865
11/12/2007,185335,561695,448822,97174
18/12/2007,185303,566095,488669,98351
25/12/2007,184534,574057,617134,97236
01/01/2008,201546,576477,637176,96045
08/01/2008,201744,588325,397546,98175
15/01/2008,201704,591884,420172,97302
22/01/2008,201663,593397,459024,96695
29/01/2008,201612,593382,444491,98057
05/02/2008,201452,594127,435999,99340
12/02/2008,201414,595780,430434,100664
19/02/2008,201385,588700,456017,101959
26/02/2008,201338,586266,446496,104774
04/03/2008,201299,577681,451481,106297
11/03/2008,201232,579658,445003,107084
18/03/2008,201192,581542,478044,106924
25/03/2008,201137,584857,486014,106922
01/04/2008,201136,595595,486031,108042
08/04/2008,209735,601690,445037,109331
15/04/2008,209698,612896,425229,109339
22/04/2008,209661,614702,499525,109302
29/04/2008,209643,618846,468020,109350
06/05/2008,209643,615077,465039,110015
13/05/2008,209628,627585,445042,110608
20/05/2008,209609,632418,486640,112212
27/05/2008,209563,639928,461949,112357
03/06/2008,209545,643879,455821,114000
10/06/2008,209515,645258,438030,114943
17/06/2008,209402,651952,466035,115223
24/06/2008,209376,653432,463047,115296
01/07/2008,209353,655643,483006,114708
08/07/2008,209020,653754,429499,112619
15/07/2008,208993,655152,475160,112872
22/07/2008,208946,653117,455051,110234
29/07/2008,208368,654978,475519,112034
05/08/2008,208342,658540,466022,111658
12/08/2008,208328,662703,460023,110585
19/08/2008,208304,665804,476088,110011
26/08/2008,208282,665871,451016,109788
02/09/2008,208251,662753,467044,111091
09/09/2008,208221,663068,460002,109728
16/09/2008,208180,663035,476501,110010
23/09/2008,208125,691881,450269,110310
30/09/2008,208111,711842,487311,111284
07/10/2008,220392,790068,635117,113120
14/10/2008,220237,808669,739388,113560
21/10/2008,220196,864881,773191,114816
28/10/2008,220195,854394,767232,116343
04/11/2008,220193,854746,839593,116915
11/11/2008,220193,878103,723410,118661
18/11/2008,220183,859031,800711,118795
25/11/2008,220126,831019,803487,119349
02/12/2008,220011,843617,794921,120502
09/12/2008,219969,898014,797581,120960
16/12/2008,219949,875039,837406,121443
23/12/2008,219824,851241,829584,120835
30/12/2008,219707,859274,843197,121287
06/01/2009,218415,730260,857510,282693
13/01/2009,218392,718422,828533,280219
20/01/2009,218366,690612,821887,279790
27/01/2009,218319,697107,842407,281966
03/02/2009,218320,657353,748324,282982
10/02/2009,218314,656882,737215,281385
17/02/2009,218159,650915,681286,283691
24/02/2009,217993,655551,699726,285105
03/03/2009,217779,616356,700877,285256
10/03/2009,217743,640068,696826,286182
17/03/2009,217638,642762,680795,288238
24/03/2009,217625,635279,680099,289545
31/03/2009,217543,633061,661908,290571
07/04/2009,241672,633172,669608,291932
14/04/2009,241669,624238,667946,293945
21/04/2009,241663,623926,681665,292829
28/04/2009,240840,612755,676404,293964
05/05/2009,240829,609287,655014,294095
12/05/2009,240817,608525,653352,292405
19/05/2009,240803,603195,627347,292813
26/05/2009,240790,582344,619072,294664
02/06/2009,240784,581631,680582,296613
09/06/2009,240766,576023,632881,298168
16/06/2009,240746,574252,611020,300606
23/06/2009,240725,559156,618887,300950
30/06/2009,240629,558266,896839,301585
07/07/2009,232128,542676,834633,302191
14/07/2009,232126,547057,808008,301718
21/07/2009,232127,540500,801888,301197
28/07/2009,232126,540255,789848,305619
04/08/2009,232120,539632,775730,306611
11/08/2009,232117,533321,761631,308826
18/08/2009,232118,530639,727458,311542
25/08/2009,232109,523890,729812,312553
01/09/2009,232111,564059,712111,313090
08/09/2009,232081,565321,706663,315423
15/09/2009,232024,564588,689256,316605
22/09/2009,231971,559713,683837,317451
29/09/2009,231913,558216,681048,319065
06/10/2009,238169,551318,734324,320756
13/10/2009,238167,547116,694579,322880
20/10/2009,238168,547697,691350,324173
